,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,1.441094942478914e-10,1.537167938644175e-10,0.0,0.0,4.529155533505159e-11
1994,3.12981350849133e-12,3.3384677423907525e-12,0.0,0.0,9.836556740972753e-13
1995,3.0559026944301074e-10,3.259629540725448e-10,0.0,0.0,9.604265611066051e-11
1996,9.668676100661224e-11,1.0313254507371973e-10,0.0,0.0,3.0387267744935276e-11
1997,5.795049921540582e-10,6.181386582976621e-10,0.0,0.0,1.8213014039127543e-10
1998,1.5708397799769787e-09,1.6755624319754442e-09,0.0,0.0,4.936925022784791e-10
1999,5.431703443968288e-08,5.7938170068995076e-08,0.0,0.0,1.7071067966757477e-08
2000,2.0046698468738078e-08,2.138314503332062e-08,0.0,0.0,6.300390947317682e-09
2001,4.732351991959445e-08,5.047842124756742e-08,0.0,0.0,1.4873106260443971e-08
2002,4.376898082089929e-08,4.668691287562591e-08,0.0,0.0,1.3755965400854064e-08
2003,1.4856671467067143e-07,1.5847116231538287e-07,0.0,0.0,4.669239603935388e-08
2004,2.76778240818149e-07,2.95230123539359e-07,0.0,0.0,8.69874471142754e-08
2005,4.293954008192209e-07,4.580217608738356e-07,0.0,0.0,1.3495284025746943e-07
2006,1.3431454725769634e-06,1.4326885040820943e-06,0.0,0.0,4.2213143423847423e-07
2007,1.2470678198013208e-06,1.3302056744547422e-06,0.0,0.0,3.919356005089865e-07
2008,1.921634227877611e-06,2.0497431764027853e-06,0.0,0.0,6.039421859043921e-07
2009,3.476467702186652e-06,3.708232215665763e-06,0.0,0.0,1.0926041349729479e-06
2010,4.928757657153123e-06,5.257341500963331e-06,0.0,0.0,1.5490381208195532e-06
2011,7.533602041642339e-06,8.03584217775183e-06,0.0,0.0,2.3677034988018785e-06
2012,1.0785445949683459e-05,1.1504475679662355e-05,0.0,0.0,3.38971158418623e-06
2013,1.6072932406113942e-05,1.7144461233188202e-05,0.0,0.0,5.051493041921525e-06
2014,2.3724044097627207e-05,2.5305647037469023e-05,0.0,0.0,7.456128144968552e-06
2015,3.146672048092265e-05,3.35645018463175e-05,0.0,0.0,9.889540722575693e-06
2016,4.214942803101361e-05,4.4959389899747865e-05,0.0,0.0,1.3246963095461422e-05
2017,5.699001750159056e-05,6.07893520016966e-05,0.0,0.0,1.791114835764275e-05
2018,7.706129646872214e-05,8.219871623330362e-05,0.0,0.0,2.4219264604455534e-05
2019,0.00010218706738968958,0.00010899953854900222,0.0,0.0,3.211593546533101e-05
2020,0.0001327598021433757,0.00014161045561960077,0.0,0.0,4.1724509245060944e-05
2021,0.00017024615571970418,0.00018159589943435113,0.0,0.0,5.350593465476418e-05
2022,0.00021293064380119498,0.000227126020054608,0.0,0.0,6.692105948037557e-05
2023,0.0002614307296310496,0.0002788594449397862,0.0,0.0,8.216394359832986e-05
2024,0.0003152273373846136,0.00033624249321025454,0.0,0.0,9.907144889230713e-05
2025,0.0003734967811995552,0.00039839656661285887,0.0,0.0,0.00011738470266271734
2026,0.0004333553017737049,0.0004622456552252852,0.0,0.0,0.00013619738055745012
2027,0.0004967608120733177,0.0005298781995448723,0.0,0.0,0.00015612482665161418
2028,0.0005597999978578819,0.0005971199977150741,0.0,0.0,0.00017593714218390577
2029,0.0006225319014834637,0.000664034028249028,0.0,0.0,0.00019565288332337431
2030,0.0006797699406921186,0.0007250879367382598,0.0,0.0,0.00021364198136038012
2031,0.0007311298728672715,0.0007798718643917563,0.0,0.0,0.0002297836743297139
2032,0.0007765748511570306,0.0008283465079008326,0.0,0.0,0.0002440663817922096
2033,0.0007924719546220436,0.0008453034182635132,0.0,0.0,0.00024906261430978515
2034,0.0008240292406581598,0.0008789645233687039,0.0,0.0,0.0002589806184925646
2035,0.000846174915660597,0.0009025865767046369,0.0,0.0,0.00026594068777904475
2036,0.000847284596018484,0.0009037702357530497,0.0,0.0,0.00026628944446295213
2037,0.0008548406124133831,0.0009118299865742754,0.0,0.0,0.00026866419247277757
2038,0.0008467465913085701,0.0009031963640624748,0.0,0.0,0.00026612035726840774
2039,0.000853450634425637,0.0009103473433873462,0.0,0.0,0.0002682273422480574
2040,0.0008534255579401393,0.0009103205951361485,0.0,0.0,0.0002682194610669009
2041,0.0008294491186632914,0.0008847457265741776,0.0,0.0,0.0002606840087227488
2042,0.000850132371634727,0.0009068078630770422,0.0,0.0,0.00026718445965662847
2043,0.0009163064307216403,0.000977393526103083,0.0,0.0,0.0002879820210839441
2044,0.0009994223939086056,0.0010660505535025127,0.0,0.0,0.00031410418094270467
2045,0.0010789661415412694,0.0011508972176440208,0.0,0.0,0.00033910364448439895
2046,0.0011564593760767256,0.001233556667815174,0.0,0.0,0.00036345866105268524
2047,0.0012428307369260168,0.0013256861193877514,0.0,0.0,0.0003906039458910339
2048,0.001319970569775859,0.0014079686077609166,0.0,0.0,0.0004148478933581272
2049,0.0013866117913411155,0.0014790525774305233,0.0,0.0,0.0004357922772786363
2050,0.0014419629121205986,0.0015380937729286386,0.0,0.0,0.00045318834380933103
